"importId";"name_fr";"code_fr";"name_en";"code_en";"description_fr";"description_en";"productFamily.id";"productCategory.id";"applicationTypeSelect";"procurementMethodSelect";"isRawMaterial";"unit.code";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"invoiceLineType.id";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths"
1;"Hébergement serveur";"ABO-0001";"Server hosting";"ABO-0001";"Serveur dédié i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";"Dedicated Server i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";1;1;1;;"false";"MOIS";"service";70;"EUR";"58.1";"EUR";;"2013-01-01";;1;1;63;"false";;"false";
2;"Maintenance annuelle";"ABO-0002";"Annual Maintenance";"ABO-0002";"Mise à jour des logiciels, Sauvegardes quotidiennes, Restauration, Accès au portail de tickets";"Software updates, Daily backups, Restore, Ticket support portal";1;2;1;;"false";"ANNEE";"service";2000;"EUR";1460;"EUR";;"2013-01-01";;1;1;1800;"false";;"false";
100;"Pack Classique";"EQPT-0002";"Pack Classic";"EQPT-0002";"Serveur Classique + Imprimante Jet d'Encre + 3 Ramettes Papier + Ecran LED 24 Pouces";;2;18;1;"produce";"false";"U";"storable";1845;"EUR";;"EUR";;"2013-01-01";;2;3;1661;"false";;"false";
101;"Pack Performance";"EQPT-0001";"Pack Performance";"EQPT-0001";"Serveur HP + Imprimante Laser + 3 Ramettes Papier + Ecran LED 24 Pouces";"Classic Server + Laser Printer + 3 Paper Ream + ";2;18;1;"produce";"false";"U";"storable";2890;"EUR";;"EUR";;"2013-01-01";;2;3;2601;"false";;"false";
110;"Serveur classique";"EQPT-0004";"Classic server";"EQPT-0004";"Boîtier Rack / Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache / Disque dur SATA 2*2To / RAM : 32 Go / Bande passante : 200 Mbps / RAID : SOFT - 0/1";"Rack case / Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache / Hard disk SSD SATA 2*2To / RAM : 32 Go / Bandwidth : 200 Mbps / RAID : SOFT - 0/1";2;3;1;"produce";"false";"U";"storable";1500;"EUR";1185;"EUR";;"2013-01-01";;2;1;1350;"false";24;"false";
111;"Serveur haute performance";"EQPT-0003";"High Performance Server";"EQPT-0003";"Boîtier Rack / Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache / Disque dur SSD 2*200 Go / RAM : 64 Go / Bande passante : 10 Gbps / RAID : SOFT - 0/1";"Rack case / Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache / Hard disk SSD 2*200 Go / RAM : 64 Go / Bandwidth : 10 Gbps / RAID : SOFT - 0/1";2;3;1;"produce";"false";"U";"storable";2500;"EUR";2100;"EUR";;"2013-01-01";;2;1;2250;"false";24;"false";
120;"Imprimante Jet d'encre";"EQPT-0005";"InkJet Printer";"EQPT-0005";"Résolution impression : 1200x1200 ppp / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 4800 ppp / Ecran : Tactile CGD 10,92 cm";"Printer resolution : 1200x1200 ppp / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 4800 ppp / Screen : Tactile CGD 10,92 cm";2;4;1;"buy";"false";"U";"storable";329;"EUR";"250.04";"EUR";148;"2013-01-01";;2;1;296;"false";12;"false";
121;"Imprimante Laser";"EQPT-0006";"Laser Printer";"EQPT-0006";"Résolution impression : 1200x1200 dpi / Vitesse impression : 33 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : tactile couleur 8,89 cm";"Printer resolution : 1200x1200 dpi / Printing speed : 33 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : tactile couleur 8,89 cm";2;4;1;"buy";"false";"U";"storable";429;"EUR";"360.36";"EUR";148;"2013-01-01";;2;1;386;"false";12;"false";
130;"Ecran LED HD 22 pouces";"EQPT-0007";"LED Screen HD 22 inch";"EQPT-0007";"Résolution maximale : 1920x1080p / Connectique : 2 HDMI, 1 VGA, 1 composite";"Max. Resolution : 1920x1080p / Video Input : 2 HDMI, 1 VGA, 1 composite";2;17;1;"buy";"false";"U";"storable";200;"EUR";170;"EUR";148;"2013-01-01";;2;1;180;"false";12;"false";
131;"Ecran LED HD 24 pouces";"EQPT-0008";"LED Screen HD 24 inch";"EQPT-0008";"Résolution maximale : 1920x1080p / Connectique : 2 HDMI, 1 VGA, 1 composite";"Max. Resolution : 1920x1080p / Video Input : 2 HDMI, 1 VGA, 1 composite";2;17;1;"buy";"false";"U";"storable";250;"EUR";"207.5";"EUR";148;"2013-01-01";;2;1;225;"false";12;"false";
