"key","message","comment","context"
"%d times","%d раз",,
"+33000000000",,,
"+33100000000",,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa-google' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"<span class='label label-warning'>The selected date is in the past.</span>",,,
"<span class='label label-warning'>There is already a lead with this name.</span>","<span class='label-warning'>Класс разворота='label-warning'>Там уже есть зацепка с этим именем.</span>.",,
"<span style=""height:21px; line-height: 21px; margin-top:18px; display:inline-block"">VS</span>",,,
"A lost reason must be selected","Должна быть выбрана потерянная причина",,
"Action","Действие",,
"Activities","Мероприятия",,
"Add","Добавить",,
"Add a guest","Добавить гостя",,
"Address","Адрес",,
"After n repetitions","После n повторений",,
"All past events","Все прошлые события",,
"All upcoming events","Все предстоящие события",,
"All users",,,
"Amount","Сумма",,
"Amount Won","Сумма вон",,
"Amount won","Сумма выиграна",,
"App Crm","App Crm",,
"Apply changes to all recurrence's events","Применять изменения во всех повторяющихся событиях",,
"Apply changes to this event only","Применять изменения только к этому событию",,
"Apply modifications","Применять изменения",,
"Apply modifications for all","Применять изменения для всех случаев",,
"Are you sure you want to convert the lead?","Ты уверен, что хочешь преобразовать свинец?",,
"Assign to","Назначить",,
"Assign to me","Назначить мне",,
"Assignable Users",,,
"Assigned","Назначенный",,
"Assigned to","Назначенный",,
"At specific date",,,
"At the date","На дату",,
"Attendee","Посетитель",,
"Available","В наличии",,
"Average duration between lead and first opportunity (days)",,,
"Batchs","Пакеты",,
"Before start date",,,
"Best Open Deals","Лучшие открытые сделки",,
"Best case","В лучшем случае",,
"Busy","Занят",,
"CRM","CRM",,
"CRM Activities","Деятельность по СО",,
"CRM Batch","Пакет CRM",,
"CRM batches","партии СО",,
"CRM config","конфигурация CRM",,
"CRM config (${ name })","CRM-конфигурация (${ название })",,
"CRM configuration","конфигурация CRM",,
"CRM configurations","конфигурации CRM",,
"CRM events","события CRM",,
"Call","Звонок",,
"Call emitted Nbr","Звонок испускается кистью.",,
"Call emitted Nbr.","Звонок испускается кистью.",,
"Call emitted historical","Звонок исходил из истории",,
"Call filters","Фильтры вызовов",,
"Call reminder template","Шаблон напоминания о вызове",,
"Call type","Тип вызова",,
"Calls","Звонки",,
"Calls Dashboard","Приборная панель вызовов",,
"Calls Db","Вызовы Db",,
"Calls by team by user","Звонки от команды по пользователям",,
"Calls by user(of a team)","Звонки от пользователя (команды)",,
"Calls emitted historical","Звонки, которые были сделаны в прошлом.",,
"Calls emitted target completed (%)","Цель выполнена (%) Переданные вызовы завершены",,
"Calls held by team by type","Звонки, выполняемые командой по типу",,
"Calls held by type by user","Разбивка звонков по типу по пользователям",,
"Calls type by team","Тип звонков по командам",,
"Calls type by user","Тип звонков по пользователям",,
"Cancel this reminder",,,
"Canceled","Отмена",,
"Cases","Корпуса",,
"Category","Категория",,
"Characteristics","Характеристики",,
"Chart","Диаграмма",,
"Check duplicate","Проверьте дубликат",,
"City","Город",,
"Civility","Вежливость",,
"Closed Opportunities","Закрытые возможности",,
"Closed lost","Закрытый потерянный",,
"Closed won","Закрытый выиграл",,
"Code","Код",,
"Company","Компания",,
"Configuration","Конфигурация",,
"Confirm lost reason","Подтвердите утерянную причину",,
"Contact","Контакт",,
"Contact date","Дата контакта",,
"Contact details","Контактная информация",,
"Contact name","Имя контакта",,
"Contacts","Контакты",,
"Convert","Преобразовать",,
"Convert lead","Преобразовать свинец",,
"Convert lead (${ fullName })","Преобразовать свинец (${полное имя })",,
"Convert lead into contact",,,
"Convert lead into partner",,,
"Converted","Преобразован",,
"Country","Страна",,
"Create a new reminder",,,
"Create a quotation",,,
"Create event","Создать событие",,
"Create new contact","Создать новый контакт",,
"Create new partner","Создать нового партнера",,
"Create opportunity","Создать возможность",,
"Create opportunity (${ fullName })","Создать возможность (${полное имя })",,
"Create order (${ fullName })","Создать заказ (${ полное имя })",,
"Create purchase quotation",,,
"Create sale quotation",,,
"Created Nbr","Созданный Нбр",,
"Created Nbr.","Создан Нбр.",,
"Created Won","Созданный Вон",,
"Created by","Созданный",,
"Created leads by industry sector","Созданы лидерами по отраслям промышленности",,
"Created leads per month","Созданные ссылки в месяц",,
"Created leads with at least one opportunity",,,
"Created on","Созданный на",,
"Crm batch","Партия термостатов",,
"Currency","Валюта",,
"Customer","Клиент",,
"Customer Description",,,
"Customer fixed phone","Стационарный телефон",,
"Customer mobile phone","Клиент мобильного телефона",,
"Customer name","Имя клиента",,
"Customer recovery",,,
"Customers","Клиенты",,
"Daily","Ежедневно",,
"Daily team call summary by user","Ежедневный сводный отчет о звонках в команду по пользователям",,
"Dashboard","Приборная панель",,
"Date from","Дата от",,
"Date to","Дата",,
"Day of month","День месяца",,
"Day of week","День недели",,
"Days","Дни",,
"Delete all events","Удалить все события",,
"Delete only this event","Удалить только это событие",,
"Delete this and next events","Удалить это и последующие события",,
"Delivery Address","Адрес доставки",,
"Dep./Div.","Деп./Див.",,
"Description","Описание",,
"Display customer description in opportunity",,,
"Duration","Продолжительность",,
"Duration type","Тип продолжительности",,
"Email","Электронная почта",,
"Emails","Электронная почта",,
"End","Конец",,
"End date","Дата окончания",,
"Enterprise","Предприятие",,
"Enterprise name","Название предприятия",,
"Error in lead conversion","Ошибка преобразования свинца в свинец",,
"Estimated budget","Сметный бюджет",,
"Event","Событие",,
"Event Categories","Категории мероприятий",,
"Event Dashboard 1","Приборная панель событий 1",,
"Event Db","Событие Db",,
"Event categories","Категории мероприятий",,
"Event category","Категория мероприятия",,
"Event configuration categories","Категории конфигурации событий",,
"Event filters","Фильтры событий",,
"Event reminder","Напоминание о событии",,
"Event reminder %s","Напоминание о событии %s",,
"Event reminder batch","Пакет напоминаний о событии",,
"Event reminder page","Страница напоминания о событии",,
"Event reminder template",,,
"Event reminders","Напоминания о событиях",,
"Event's reminder's generation's reporting :","Отчет поколения напоминания о событии:",,
"Events","События",,
"Every %d days","Каждый день",,
"Every %d months the %d","Каждые %d месяцев %d",,
"Every %d weeks","Каждые %d недели",,
"Every %d years the %s","Каждые % в год %s",,
"Every day","Каждый день",,
"Every month","Каждый месяц",,
"Every month the","Каждый месяц",,
"Every week","Каждую неделю",,
"Every year","Каждый год",,
"Every year the","Каждый год",,
"Expected close date","Ожидаемая дата закрытия",,
"Fax","Факс",,
"Finished","Готово",,
"First name","Имя",,
"Fixed Phone","Фиксированный телефон",,
"Fixed phone","Стационарный телефон",,
"Follow up","Последующие действия",,
"Follow-up","Последующая деятельность",,
"For all","Для всех",,
"For me","Для меня",,
"Fr","Отец",,
"Free text",,,
"From Date","С даты",,
"From date must be less than the to date","С сегодняшнего дня должно быть меньше, чем на сегодняшний день.",,
"Function","Функция",,
"General contact details","Общие контактные данные",,
"Generate CRM configurations","Генерация конфигураций CRM",,
"Generate Project","Создать проект",,
"Groups Assignable",,,
"Guests","Гости",,
"High","Высоко",,
"Historical Period","Исторический период",,
"Historical events completed","Завершены исторические события",,
"Hours","Часы",,
"Import lead","Импорт свинца",,
"Import leads","Заказы на импорт",,
"In process","В процессе",,
"Incoming","Входящий",,
"Industry Sector","Промышленный сектор",,
"Industry sector","Промышленный сектор",,
"Information","Информация",,
"Informations","Информация",,
"Input location please","Место ввода, пожалуйста.",,
"Invoicing Address","Адрес выставления счетов",,
"Job Title","Название работы",,
"Key accounts","Ключевые клиенты",,
"Last name","Фамилия",,
"Lead","Свинец",,
"Lead Assigned","Назначенный свинец",,
"Lead Converted","Свинец Преобразован",,
"Lead Dashboard 1","Приборная панель 1 со свинцом",,
"Lead Db","Свинец Db",,
"Lead Db 1","Свинец Db 1",,
"Lead converted","Преобразование свинца",,
"Lead created","Свинец создан",,
"Lead filters","Свинцовые фильтры",,
"Lead.address_information","Адрес Информация",,
"Lead.company","Компания",,
"Lead.email","Электронная почта",,
"Lead.fax","Факс",,
"Lead.header","Заголовок",,
"Lead.industry","Промышленность",,
"Lead.lead_owner","Ведущий владелец",,
"Lead.name","Имя",,
"Lead.other_address","Другой адрес",,
"Lead.phone","Телефон",,
"Lead.primary_address","Основной адрес",,
"Lead.source","Источник",,
"Lead.status","Статус",,
"Lead.title","Название",,
"Leads","Зацепки",,
"Leads Source","Ссылки на источник",,
"Leads by Country","Ведущие позиции по странам",,
"Leads by Salesman by Status","Ведущие позиции по статусу у продавца",,
"Leads by Source","Ссылки на источник",,
"Leads by Team by Status","Руководит командой по статусу",,
"Limit Date","Предельная дата",,
"Lose","Потерял",,
"Loss confirmation","Подтверждение убытков",,
"Lost","Потерянный",,
"Lost reason","Потерянная причина",,
"Lost reasons","Потерянные причины",,
"Low","Низкий",,
"MapRest.PinCharLead","L",,
"MapRest.PinCharOpportunity","O",,
"Marketing","Маркетинг",,
"Meeting","Встреча",,
